trial_id,month,source,device,payment_probability
1,1,Facebook Campaigns,Desktop,0
2,1,Facebook Campaigns,Desktop,0
3,1,Facebook Campaigns,Desktop,0
4,1,Facebook Campaigns,Desktop,0
5,1,Facebook Campaigns,Desktop,0
6,1,Facebook Campaigns,Desktop,0
7,1,Facebook Campaigns,Mobile,0
8,1,Facebook Campaigns,Mobile,0
9,1,Facebook Campaigns,Mobile,0
10,1,Facebook Campaigns,Mobile,0
11,1,Facebook Campaigns,Mobile,0
12,1,Facebook Campaigns,Mobile,0
13,1,Facebook Campaigns,Mobile,0
14,1,Facebook Campaigns,Mobile,0
15,1,Facebook Campaigns,Mobile,0
16,1,Facebook Campaigns,Mobile,0
17,1,Facebook Campaigns,Mobile,0
18,1,Facebook Campaigns,Mobile,0
19,1,Facebook Campaigns,Mobile,0
20,1,Facebook Campaigns,Mobile,0
21,1,Facebook Campaigns,Mobile,0
22,1,Facebook Campaigns,Mobile,0
23,1,Facebook Campaigns,Mobile,0
24,1,Facebook Campaigns,Mobile,0
25,1,Facebook Campaigns,Mobile,0
26,1,Facebook Campaigns,Mobile,0
27,1,Facebook Campaigns,Mobile,0
28,1,Facebook Campaigns,Mobile,0
29,1,Facebook Campaigns,Mobile,0
30,1,Facebook Campaigns,Mobile,0
31,1,Facebook Campaigns,Mobile,0
32,1,Facebook Campaigns,Mobile,0
33,1,Facebook Campaigns,Mobile,0
34,1,Facebook Campaigns,Mobile,0
35,1,Facebook Campaigns,Mobile,0
36,1,Facebook Campaigns,Mobile,0
37,1,Facebook Campaigns,Mobile,0
38,1,Facebook Campaigns,Mobile,0
39,1,Facebook Campaigns,Mobile,0
40,1,Facebook Campaigns,Mobile,0
41,1,Facebook Campaigns,Mobile,0
42,1,Facebook Campaigns,Mobile,0
43,1,Facebook Campaigns,Mobile,0
44,1,Facebook Campaigns,Mobile,0
45,1,Facebook Campaigns,Mobile,0
46,1,Facebook Campaigns,Mobile,0
47,1,Facebook Campaigns,Mobile,0
48,1,Facebook Campaigns,Mobile,0
49,1,Facebook Campaigns,Mobile,0
50,1,Facebook Campaigns,Mobile,0
51,1,Facebook Campaigns,Mobile,0
52,1,Facebook Campaigns,Mobile,0
53,1,Facebook Campaigns,Mobile,0
54,1,Facebook Campaigns,Mobile,0
55,1,Facebook Campaigns,Mobile,0
56,1,Facebook Campaigns,Mobile,0
57,1,Facebook Campaigns,Mobile,0
58,1,Facebook Campaigns,Mobile,0
59,1,Facebook Campaigns,Mobile,0
60,1,Facebook Campaigns,Desktop,0
61,1,Facebook Campaigns,Desktop,0
62,1,Facebook Campaigns,Desktop,0
63,1,Facebook Campaigns,Desktop,0
64,1,Facebook Campaigns,Desktop,0
65,1,Facebook Campaigns,Desktop,0
66,1,Facebook Campaigns,Mobile,0
67,1,Facebook Campaigns,Mobile,0
68,1,Facebook Campaigns,Mobile,0
69,1,Facebook Campaigns,Mobile,0
70,1,Facebook Campaigns,Mobile,0
71,1,Facebook Campaigns,Mobile,0
72,1,Facebook Campaigns,Mobile,0
73,1,Facebook Campaigns,Mobile,0
74,1,Facebook Campaigns,Mobile,0
75,1,Facebook Campaigns,Mobile,0
76,1,Facebook Campaigns,Mobile,0
77,1,Facebook Campaigns,Mobile,0
78,1,Facebook Campaigns,Mobile,0
79,1,Facebook Campaigns,Mobile,0
80,1,Facebook Campaigns,Mobile,0
81,1,Facebook Campaigns,Mobile,0
82,1,Facebook Campaigns,Mobile,0
83,1,Facebook Campaigns,Mobile,0
84,1,Facebook Campaigns,Mobile,0
85,1,Facebook Campaigns,Mobile,0
86,1,Facebook Campaigns,Mobile,0
87,1,Facebook Campaigns,Mobile,0
88,1,Facebook Campaigns,Mobile,0
89,1,Facebook Campaigns,Mobile,0
90,1,Facebook Campaigns,Mobile,0
91,1,Facebook Campaigns,Mobile,0
92,1,Facebook Campaigns,Mobile,0
93,1,Facebook Campaigns,Mobile,0
94,1,Facebook Campaigns,Mobile,0
95,1,Facebook Campaigns,Mobile,0
96,1,Facebook Campaigns,Mobile,0
97,1,Facebook Campaigns,Mobile,0
98,1,Facebook Campaigns,Mobile,0
99,1,Facebook Campaigns,Mobile,0
100,1,Facebook Campaigns,Mobile,0
101,1,Facebook Campaigns,Mobile,0
102,1,Facebook Campaigns,Mobile,0
103,1,Facebook Campaigns,Mobile,0
104,1,Facebook Campaigns,Mobile,0
105,1,Facebook Campaigns,Mobile,0
106,1,Facebook Campaigns,Mobile,0
107,1,Facebook Campaigns,Mobile,0
108,1,Facebook Campaigns,Mobile,0
109,1,Facebook Campaigns,Mobile,0
110,1,Facebook Campaigns,Mobile,0
111,1,Facebook Campaigns,Mobile,0
112,1,Facebook Campaigns,Mobile,0
113,1,Facebook Campaigns,Mobile,0
114,1,Facebook Campaigns,Mobile,0
115,1,Facebook Campaigns,Mobile,0
116,1,Facebook Campaigns,Mobile,0
117,1,Facebook Campaigns,Mobile,0
118,1,Facebook Campaigns,Mobile,0
119,1,Facebook Campaigns,Desktop,0
120,1,Facebook Campaigns,Desktop,0
121,1,Facebook Campaigns,Desktop,0
122,1,Facebook Campaigns,Desktop,0
123,1,Facebook Campaigns,Desktop,0
124,1,Facebook Campaigns,Desktop,0
125,1,Facebook Campaigns,Mobile,0
126,1,Facebook Campaigns,Mobile,0
127,1,Facebook Campaigns,Mobile,0
128,1,Facebook Campaigns,Mobile,0
129,1,Facebook Campaigns,Mobile,0
130,1,Facebook Campaigns,Mobile,0
131,1,Facebook Campaigns,Mobile,0
132,1,Facebook Campaigns,Mobile,0
133,1,Facebook Campaigns,Mobile,0
134,1,Facebook Campaigns,Mobile,0
135,1,Facebook Campaigns,Mobile,0
136,1,Facebook Campaigns,Mobile,0
137,1,Facebook Campaigns,Mobile,0
138,1,Facebook Campaigns,Mobile,0
139,1,Facebook Campaigns,Mobile,0
140,1,Facebook Campaigns,Mobile,0
141,1,Facebook Campaigns,Mobile,0
142,1,Facebook Campaigns,Mobile,0
143,1,Facebook Campaigns,Mobile,0
144,1,Facebook Campaigns,Mobile,0
145,1,Facebook Campaigns,Mobile,0
146,1,Facebook Campaigns,Mobile,0
147,1,Facebook Campaigns,Mobile,0
148,1,Facebook Campaigns,Mobile,0
149,1,Facebook Campaigns,Mobile,0
150,1,Facebook Campaigns,Mobile,0
151,1,Facebook Campaigns,Mobile,0
152,1,Facebook Campaigns,Mobile,0
153,1,Facebook Campaigns,Mobile,0
154,1,Facebook Campaigns,Mobile,0
155,1,Facebook Campaigns,Mobile,0
156,1,Facebook Campaigns,Mobile,0
157,1,Facebook Campaigns,Mobile,0
